symbol,name,market,date,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score,scan_date
019540,일지테크,KOSDAQ,2026-01-13,5000.0,4305.0,5590.0,4280.0,9638871,4425.0,42450,227.05981983849537,16.27906976744186,11335.549131459653,2026-01-13
265560,영화테크,KOSDAQ,2026-01-13,7850.0,6420.0,8180.0,6420.0,2778760,7200.0,12499,222.30613534724833,22.65625,11110.619267362417,2026-01-13
290120,오토리드,KOSDAQ,2026-01-13,3575.0,2790.0,3575.0,2605.0,4292373,2830.0,20858,205.786301921528,30.0,10299.3150960764,2026-01-13
084730,팅크웨어,KOSDAQ,2026-01-13,9510.0,8370.0,10180.0,8360.0,2632967,8660.0,23184,113.56436113315621,15.13317191283293,5658.484400483477,2026-01-13
013870,지엠비코리아,KOSPI,2026-01-13,4515.0,4185.0,4920.0,4120.0,2056630,4280.0,20779,98.97208360001731,8.795180722891565,4916.194541446649,2026-01-13
017040,광명전기,KOSPI,2026-01-13,1468.0,1428.0,1747.0,1411.0,19066159,1381.0,201080,94.81834923157794,9.226190476190476,4709.369842531278,2026-01-13
457370,한켐,KOSDAQ,2026-01-13,9160.0,7800.0,10020.0,7610.0,5371391,7840.0,57596,93.25906370965572,18.80674448767834,4650.566674458142,2026-01-13
122350,삼기,KOSDAQ,2026-01-13,1833.0,1415.0,1833.0,1377.0,25655980,1531.0,433666,59.16064955935013,30.0,2968.032477967506,2026-01-13
128540,에코캡,KOSDAQ,2026-01-13,2370.0,1825.0,2370.0,1825.0,6498681,1900.0,122824,52.910126529718326,29.863013698630137,2655.2323538831765,2026-01-13
336680,탑런토탈솔루션,KOSDAQ,2026-01-13,4425.0,4210.0,4870.0,4205.0,1963453,4400.0,54615,35.950274462701266,5.10688836104513,1757.7274998571536,2026-01-13
079950,인베니아,KOSDAQ,2026-01-13,5740.0,7440.0,7440.0,5540.0,11200280,5730.0,324830,34.480340386336394,0.17452006980802792,1674.3660594564358,2026-01-13
001210,금호전기,KOSPI,2026-01-13,1085.0,929.0,1085.0,929.0,45795145,835.0,1540278,29.731737089174448,29.94011976047904,1496.4670939796806,2026-01-13
052770,아이톡시,KOSDAQ,2026-01-13,1809.0,1730.0,1809.0,1551.0,6432546,1392.0,235152,27.354796293807762,29.95689655172414,1377.6536077938365,2026-01-13
025440,오토웨어,KOSDAQ,2026-01-13,1246.0,980.0,1246.0,938.0,6583264,1068.0,242057,27.19712497885315,29.927007299270077,1369.7102635411975,2026-01-13
123040,엠에스오토텍,KOSDAQ,2026-01-13,2335.0,2165.0,2395.0,2150.0,1637256,2260.0,76155,21.498797857547103,7.603686635944701,1040.1472661492444,2026-01-13
