symbol,name,market,date,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score,scan_date
094840,슈프리마에이치큐,KOSDAQ,2026-01-25,7350.0,8640.0,8640.0,7200.0,4195822,6870.0,25028,167.63942410458333,10.526315789473683,8353.023836808114,2026-01-25
462860,더즌,KOSDAQ,2026-01-25,4665.0,3690.0,4780.0,3690.0,26721460,4340.0,553163,48.306599989605246,26.594301221166894,2418.518601922596,2026-01-25
163730,핑거,KOSDAQ,2026-01-25,12120.0,9960.0,12770.0,9960.0,4014059,11820.0,109227,36.749594652618896,21.809045226130653,1831.0978230832063,2026-01-25
002760,보락,KOSPI,2026-01-25,1131.0,1100.0,1270.0,1079.0,10953916,1127.0,305176,35.89368388871103,6.097560975609756,1756.879316386771,2026-01-25
158430,아톤,KOSDAQ,2026-01-25,7250.0,6110.0,7650.0,6110.0,9419176,6810.0,269572,34.941134617860044,18.4640522875817,1733.9848354681656,2026-01-25
234340,헥토파이낸셜,KOSDAQ,2026-01-25,19500.0,15140.0,19500.0,15000.0,6012247,17760.0,188361,31.91861935876047,30.0,1605.9309679380235,2026-01-25
377300,카카오페이,KOSPI,2026-01-25,67800.0,53000.0,67800.0,52900.0,12526579,56000.0,498198,25.143776169314208,29.88505747126437,1266.9589234082391,2026-01-25
011420,갤럭시아에스엠,KOSPI,2026-01-25,2040.0,1851.0,2100.0,1851.0,2842879,1960.0,115767,24.556807634615776,10.21069692058347,1198.2617755719557,2026-01-25
053300,한국정보인증,KOSDAQ,2026-01-25,6710.0,5950.0,6900.0,5910.0,5148949,6380.0,221481,23.24771911384181,13.344594594594595,1139.0751448812798,2026-01-25
094480,갤럭시아머니트리,KOSDAQ,2026-01-25,10950.0,9310.0,11050.0,9310.0,5622481,10190.0,277620,20.25243133556096,19.41112322791712,1001.4438132338822,2026-01-25
060230,제이케이시냅스,KOSDAQ,2026-01-25,3445.0,2940.0,3720.0,2915.0,1228942,3165.0,64585,19.0280084135946,19.618055555555554,940.636531790841,2026-01-25
