symbol,name,market,date,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score,scan_date
146060,율촌,KOSDAQ,2026-01-04,1575.0,1209.0,1575.0,1209.0,8801829,1249.0,49471,177.91770388315663,29.950495049504948,8905.786184256842,2026-01-04
074430,아미노로직스,KOSDAQ,2026-01-04,1194.0,919.0,1194.0,910.0,12849887,957.0,86940,147.8004228164452,29.923830250272033,7399.868801322805,2026-01-04
396470,워트,KOSDAQ,2026-01-04,7340.0,6880.0,8460.0,6880.0,3295605,7330.0,26035,126.58290810692466,5.611510791366906,6290.368426928967,2026-01-04
254490,미래반도체,KOSDAQ,2026-01-04,16280.0,14810.0,18280.0,14810.0,1669039,15980.0,28166,59.25659387281965,7.387862796833773,2927.60541923465,2026-01-04
464500,아이언디바이스,KOSDAQ,2026-01-04,3260.0,2950.0,3610.0,2950.0,4363638,3145.0,83136,52.48785275719408,11.073253833049405,2596.5391455258027,2026-01-04
014910,성문전자,KOSPI,2026-01-04,1518.0,1168.0,1518.0,1168.0,5892771,1273.0,142956,41.220641480503204,29.96575342465753,2070.963580874475,2026-01-04
053700,삼보모터스,KOSDAQ,2026-01-04,6420.0,5400.0,6700.0,5330.0,18539659,5220.0,501831,36.94402528500379,22.988505747126435,1843.1782757444423,2026-01-04
093240,형지엘리트,KOSPI,2026-01-04,1698.0,1700.0,1921.0,1474.0,112379459,1497.0,3127192,35.936219203422446,13.426853707414828,1773.664667585952,2026-01-04
080220,제주반도체,KOSDAQ,2026-01-04,26350.0,21900.0,27500.0,21900.0,22362142,22600.0,636860,35.11308754223452,17.89709172259508,1741.448560556916,2026-01-04
102120,어보브반도체,KOSDAQ,2026-01-04,12090.0,11310.0,12720.0,11200.0,2874364,11530.0,117813,24.39749469290126,7.0859167404783,1184.0465681260198,2026-01-04
232680,라온로보틱스,KOSDAQ,2026-01-04,14550.0,14900.0,16300.0,13475.0,8875372,13940.0,428788,20.698722260210396,4.375896700143472,993.6879064108067,2026-01-04
031330,에스에이엠티,KOSDAQ,2026-01-04,4150.0,3670.0,4395.0,3645.0,12909143,3990.0,669777,19.27377679350405,13.387978142076504,940.4647959593556,2026-01-04
032940,원익,KOSDAQ,2026-01-04,10580.0,8300.0,10580.0,8170.0,4852348,8610.0,318794,15.220937137207285,29.975429975429975,770.9977168112241,2026-01-04
