symbol,name,market,date,close,open,high,low,volume,pivot_high,volume_ma20,volume_ratio,price_change_pct,score,scan_date
189980,흥국에프엔비,KOSDAQ,2026-01-30,2175.0,2120.0,2615.0,2015.0,23987956,2015.0,288325,83.19742568907316,7.94044665012407,4125.752177753906,2026-01-30
088130,동아엘텍,KOSDAQ,2026-01-30,5180.0,4000.0,5180.0,3890.0,4138267,4190.0,83101,49.797681392416024,29.82456140350877,2499.533192427819,2026-01-30
081580,성우전자,KOSDAQ,2026-01-30,3085.0,2500.0,3085.0,2500.0,5916721,2630.0,180080,32.85604215678408,29.894736842105264,1652.5915815234146,2026-01-30
001740,네트웍스,KOSPI,2026-01-30,5600.0,4835.0,5800.0,4815.0,6834924,4865.0,445879,15.329090182029082,15.822130299896585,748.0987697012473,2026-01-30
044450,해운,KOSPI,2026-01-30,9700.0,9100.0,10300.0,9060.0,1023430,9590.0,81651,12.534054606166785,6.828193832599119,590.3591179735375,2026-01-30
027360,아주IB투자,KOSDAQ,2026-01-30,4790.0,4670.0,5040.0,4440.0,55385153,4510.0,4841736,11.439110003556161,6.208425720620843,534.3723516190497,2026-01-30
036540,반도체,KOSDAQ,2026-01-30,7840.0,6840.0,8130.0,6810.0,27125815,7280.0,2751172,9.859727822258202,14.285714285714285,471.55781968433865,2026-01-30
099410,동방선기,KOSDAQ,2026-01-30,5920.0,5360.0,6060.0,5320.0,1497694,5600.0,176661,8.477785136504378,10.654205607476635,395.1976680401722,2026-01-30
445180,퓨릿,KOSDAQ,2026-01-30,10360.0,9610.0,10700.0,9570.0,900116,9840.0,105965,8.49445312916558,7.804370447450572,390.33139735318014,2026-01-30
377740,바이오노트,KOSPI,2026-01-30,5840.0,5660.0,5960.0,5660.0,635851,5690.0,74065,8.584953234119684,5.0359712230215825,389.3196041520274,2026-01-30
038500,삼표시멘트,KOSDAQ,2026-01-30,8400.0,6830.0,8580.0,6570.0,65311726,8200.0,8775260,7.442710704226836,27.27272727272727,376.68098975679635,2026-01-30
475310,반도체후공정,KOSPI,2026-01-30,25165.0,23475.0,26080.0,23475.0,1066535,24370.0,135246,7.885869008664558,7.221985513421389,358.7374214600707,2026-01-30
003380,하림지주,KOSDAQ,2026-01-30,14420.0,12550.0,15930.0,12190.0,11029378,13950.0,1574950,7.003000666116257,14.808917197452228,329.7678677007173,2026-01-30
067000,조이시티,KOSDAQ,2026-01-30,2970.0,2760.0,3287.0,2710.0,11190163,2780.0,1578096,7.090924863652183,8.990825688073395,322.5278945587559,2026-01-30
036200,유니셈,KOSDAQ,2026-01-30,11490.0,10800.0,12000.0,10780.0,2384767,11210.0,333576,7.149079312470172,4.549590536851683,316.553146697212,2026-01-30
273060,와이즈버즈,KOSDAQ,2026-01-30,1350.0,1160.0,1441.0,1160.0,11706387,1185.0,1778970,6.58042876208863,18.006993006993007,315.0354241184175,2026-01-30
300120,라온피플,KOSDAQ,2026-01-30,1689.0,1578.0,1881.0,1542.0,1772675,1635.0,256547,6.909727331461687,7.511139401654996,310.5086453763943,2026-01-30
051370,인터플렉스,KOSDAQ,2026-01-30,12450.0,11670.0,13240.0,11670.0,1124161,11780.0,170612,6.588975947820909,7.327586206896551,294.1039698048385,2026-01-30
396300,세아메카닉스,KOSDAQ,2026-01-30,4535.0,4070.0,4665.0,4000.0,10232750,4250.0,1614385,6.33848183673659,13.092269326683292,293.1086304901961,2026-01-30
095570,네트웍스,KOSPI,2026-01-30,5280.0,4985.0,5330.0,4865.0,1155866,5020.0,183569,6.296617599833524,5.917753259779338,276.66638651123486,2026-01-30
122640,예스티,KOSDAQ,2026-01-30,21700.0,19230.0,22200.0,18980.0,870790,20200.0,146866,5.929109962830291,12.844513780551223,272.144525702617,2026-01-30
353200,대덕전자,KOSPI,2026-01-30,63300.0,55800.0,67700.0,55500.0,5714415,56500.0,1045234,5.467113405375866,20.57142857142857,264.49852741165046,2026-01-30
001360,삼성제약,KOSPI,2026-01-30,1811.0,1745.0,2050.0,1742.0,10242320,1748.0,1721559,5.949444660334034,4.200230149597238,255.87269331589619,2026-01-30
365270,큐라클,KOSDAQ,2026-01-30,12080.0,9730.0,12430.0,9730.0,2948204,11500.0,580414,5.079483768571439,24.279835390946502,252.53385921046495,2026-01-30
101160,월덱스,KOSDAQ,2026-01-30,25900.0,24800.0,26650.0,24750.0,651331,25300.0,116813,5.575843442082645,6.147540983606557,241.08725407134537,2026-01-30
019210,와이지-원,KOSDAQ,2026-01-30,8970.0,8240.0,9360.0,8110.0,2573858,8420.0,488580,5.26803637028643,10.061349693251534,233.52451790082458,2026-01-30
033100,제룡전기,KOSDAQ,2026-01-30,48850.0,44850.0,51000.0,44000.0,1428551,44650.0,280838,5.086739430971386,9.775280898876403,223.88753334632213,2026-01-30
006110,삼아알미늄,KOSPI,2026-01-30,34200.0,37750.0,37750.0,33550.0,753759,31500.0,148891,5.062464865402168,9.967845659163988,223.05893458843636,2026-01-30
080220,제주반도체,KOSDAQ,2026-01-30,43300.0,36100.0,44550.0,36100.0,17048272,39050.0,3658225,4.660256829140279,17.503392130257804,218.01962571752955,2026-01-30
475300,반도체전공정,KOSPI,2026-01-30,17160.0,16285.0,17910.0,16255.0,2060791,16865.0,402507,5.11988414621497,5.243790248390065,216.48178780752863,2026-01-30
004090,한국석유,KOSPI,2026-01-30,15950.0,15550.0,16000.0,15000.0,1692844,15230.0,334732,5.057300189479518,6.760374832663989,216.38575913930387,2026-01-30
110990,디아이티,KOSDAQ,2026-01-30,21900.0,21150.0,23550.0,21050.0,703546,20650.0,143519,4.9020883203101455,9.5,214.10441601550727,2026-01-30
336570,원텍,KOSDAQ,2026-01-30,10220.0,9800.0,10480.0,9590.0,3636315,9720.0,759135,4.790071815872733,8.839190628328009,207.18197205029267,2026-01-30
348370,엔켐,KOSDAQ,2026-01-30,96100.0,89200.0,105000.0,86500.0,1842752,95900.0,392148,4.699113015489779,7.73542600896861,200.4265027924262,2026-01-30
060720,바텍,KOSDAQ,2026-01-30,19120.0,18200.0,19960.0,17520.0,5639994,17800.0,1285468,4.387500061261702,15.111378687537627,199.59776043816032,2026-01-30
471760,반도체핵심공정,KOSPI,2026-01-30,17110.0,16185.0,17710.0,16120.0,4139266,16865.0,878964,4.709250351791616,5.715168365770775,196.89285432112237,2026-01-30
058470,리노공업,KOSDAQ,2026-01-30,105900.0,92800.0,114300.0,92300.0,3108007,96000.0,762956,4.073637783770404,14.983713355048861,183.6493158986179,2026-01-30
061970,세미콘,KOSDAQ,2026-01-30,4695.0,4300.0,4725.0,4200.0,1554736,4460.0,361533,4.300389659333327,9.186046511627907,183.39157598992213,2026-01-30
042520,한스바이오메드,KOSDAQ,2026-01-30,39500.0,30000.0,39500.0,29400.0,1004102,31800.0,299249,3.3554013215396052,29.93421052631579,177.63848712961183,2026-01-30
489790,한화비전,KOSPI,2026-01-30,61800.0,56500.0,64400.0,56100.0,4385247,58000.0,1098790,3.9909768050394328,11.552346570397113,172.65353339276584,2026-01-30
157500,증권,KOSPI,2026-01-30,14905.0,14520.0,15385.0,14445.0,4818276,14825.0,1106639,4.353972311298236,1.0508474576271187,169.80031048016602,2026-01-30
005290,동진쎄미켐,KOSDAQ,2026-01-30,56000.0,51000.0,59700.0,50800.0,2995581,52300.0,761596,3.933291447636642,8.949416342412452,164.563405066657,2026-01-30
425040,티이엠씨,KOSDAQ,2026-01-30,9990.0,9540.0,10230.0,9310.0,929215,9670.0,228238,4.071238513680184,4.716981132075472,162.99588794816015,2026-01-30
125490,한라캐스트,KOSDAQ,2026-01-30,24000.0,20750.0,24700.0,20400.0,17048085,21900.0,5402691,3.155479858720424,24.804992199687987,157.38397733539716,2026-01-30
471990,반도체핵심장비,KOSPI,2026-01-30,20750.0,19905.0,21560.0,19780.0,3620348,20605.0,938179,3.8589092423823983,4.114400401404917,151.17426292192977,2026-01-30
290650,엘앤씨바이오,KOSDAQ,2026-01-30,92200.0,79900.0,97500.0,78900.0,1822410,78300.0,574069,3.1745437271663257,18.205128205128204,145.1374427685727,2026-01-30
281820,케이씨텍,KOSPI,2026-01-30,47250.0,44200.0,47900.0,43900.0,483470,46200.0,137218,3.5233523115463448,8.123569794050344,142.41475516541792,2026-01-30
102970,증권,KOSPI,2026-01-30,21820.0,21270.0,22400.0,21080.0,10630675,21605.0,2884075,3.6859902171432215,1.5592273679311148,137.4179655930233,2026-01-30
