date,value
2024-01-01,100000000.0
2024-02-01,100000000.0
2024-03-01,100000000.0
2024-04-01,100000000.0
2024-05-01,100000000.0
2024-06-01,100000000.0
2024-07-01,100000000.0
2024-08-01,100000000.0
2024-09-01,100000000.0
2024-10-01,100000000.0
2024-11-01,100000000.0
2024-12-01,100000000.0
2025-01-01,100000000.0
2025-02-01,100000000.0
2025-03-01,100000000.0
2025-04-01,100000000.0
2025-05-01,100000000.0
2025-06-01,100000000.0
2025-07-01,100000000.0
2025-08-01,100000000.0
2025-09-01,100000000.0
2025-10-01,127213600.0
2025-11-01,145928184.0
2025-12-01,150668819.0
2026-01-01,152531384.0
2026-02-01,197128834.0
2026-03-01,238662399.0
