Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2025-08-26,69649.1640625,70441.75767914296,69649.1640625,70144.53507290185,14712519
2025-08-27,69946.390625,70243.61324805241,69153.79696352691,69451.01958657932,10523405
2025-08-28,68955.6484375,69748.24209770115,68955.6484375,69451.01947512572,11578024
2025-08-29,69054.7265625,69847.320267665,69054.7265625,69451.0234150825,11682267
2025-09-01,66974.1640625,67964.90613443048,66875.08985530696,67766.75772004438,12002343
2025-09-02,68460.2734375,68856.57024466353,67172.30881421853,67172.30881421853,10604028
2025-09-03,69153.796875,69153.796875,68163.05479942693,68559.35162965616,10283009
2025-09-04,69451.015625,69451.015625,68658.42200873751,68856.57041280314,12284414
2025-09-05,68856.5703125,69748.2381294964,68856.5703125,69649.16392760792,11526724
2025-09-08,69451.015625,69847.31243313124,68955.64461483594,69153.79301890156,9263135
2025-09-09,70838.0546875,70838.0546875,69351.9416520979,69451.01585445805,14870245
2025-09-10,71927.875,72126.02341597796,70937.13292011019,71135.28133608816,21928565
2025-09-11,72720.4609375,72918.60933242507,71432.49637048706,72522.31254257493,20793501
2025-09-12,74701.953125,74900.10154177719,73513.06262433688,73909.35945789125,28219678
2025-09-15,75791.765625,76881.58186274511,75197.32040441177,76485.28504901961,19908805
2025-09-16,78664.921875,78763.99608391058,75989.91823441435,76188.06665223552,28218265
2025-09-17,77476.0234375,78367.69122642264,76386.207251039,78367.69122642264,20856317
2025-09-18,79556.5859375,79754.73434581257,77872.32446684309,78367.69548762453,25619035
2025-09-22,82726.9609375,83222.33196107784,80349.18002432634,80745.47684318862,27529656
2025-09-23,83915.8515625,85104.74202147285,82826.03530844155,85005.66781655845,23610263
2025-09-24,84609.375,84708.44920960187,82925.11343676815,83420.48448477751,18300997
2025-09-25,85302.890625,85401.96483013938,83321.40652221254,83618.62913763066,19665151
2025-09-26,82528.8125,84510.29659363745,81637.14465786314,84213.07397959183,24071193
2025-09-29,83792.671875,84588.80177404988,82797.50950118764,82897.02573856887,13069094
2025-09-30,83494.125,84489.28739570918,82996.54380214542,84190.73867699642,16319061
2025-10-01,85583.9609375,85782.9934047965,84290.24990007267,84489.28236736919,22039361
2025-10-02,89315.8203125,89863.15960132312,88270.8998520195,88867.99725800836,49883028
