Price,Close,High,Low,Open,Volume
Ticker,^KS11,^KS11,^KS11,^KS11,^KS11
Date,,,,,
2025-02-26,2641.090087890625,2648.06005859375,2620.159912109375,2629.860107421875,386800
2025-02-27,2621.75,2638.469970703125,2610.469970703125,2637.6298828125,513900
2025-02-28,2532.780029296875,2586.780029296875,2531.239990234375,2585.610107421875,588600
2025-03-04,2528.919921875,2548.780029296875,2513.31005859375,2522.199951171875,484100
2025-03-05,2558.1298828125,2561.469970703125,2535.179931640625,2548.449951171875,569400
2025-03-06,2576.159912109375,2583.64990234375,2565.570068359375,2573.550048828125,609600
2025-03-07,2563.47998046875,2575.47998046875,2541.489990234375,2553.43994140625,567200
2025-03-10,2570.389892578125,2579.760009765625,2549.989990234375,2555.39990234375,435700
2025-03-11,2537.60009765625,2547.8798828125,2505.909912109375,2516.68994140625,399000
2025-03-12,2574.820068359375,2579.68994140625,2541.659912109375,2552.60009765625,401600
2025-03-13,2573.639892578125,2600.070068359375,2561.02001953125,2598.06005859375,427300
2025-03-14,2566.360107421875,2576.739990234375,2559.239990234375,2565.179931640625,362300
2025-03-17,2610.68994140625,2610.68994140625,2587.52001953125,2588.320068359375,396600
2025-03-18,2612.340087890625,2638.56005859375,2606.909912109375,2627.27001953125,555500
2025-03-19,2628.6201171875,2642.830078125,2613.47998046875,2613.47998046875,653300
2025-03-20,2637.10009765625,2650.719970703125,2629.199951171875,2648.159912109375,455000
2025-03-21,2643.1298828125,2645.820068359375,2617.780029296875,2633.89990234375,497500
2025-03-24,2632.070068359375,2648.820068359375,2629.3798828125,2636.429931640625,372400
2025-03-25,2615.81005859375,2654.6298828125,2612.739990234375,2653.0400390625,439300
2025-03-26,2643.93994140625,2649.14990234375,2618.050048828125,2628.090087890625,507900
2025-03-27,2607.14990234375,2633.030029296875,2603.409912109375,2620.280029296875,403300
2025-03-28,2557.97998046875,2592.6298828125,2549.260009765625,2592.6298828125,513600
2025-03-31,2481.1201171875,2514.219970703125,2479.4599609375,2513.43994140625,391600
