symbol,name,market,price,macd_hist,rsi,volume_ratio
012450,한화에어로스페이스,KOSPI,1476000.0,17021.972388518494,65.78947368421052,0.4229150096028867
079550,넥스원,KOSPI,730000.0,11575.997510430825,69.76170912078882,0.980476884803517
476830,알지노믹스,KOSDAQ,193900.0,5742.312695653439,70.77872012336161,1.212078419860529
087010,펩트론,KOSDAQ,316500.0,4517.658375019384,60.93366093366094,1.3415013978202162
376900,로킷헬스케어,KOSDAQ,103600.0,4174.507221517525,73.34878331402086,0.5482575029770773
310210,보로노이,KOSDAQ,347500.0,3512.1027415308454,63.220675944334,0.701841784139979
458870,씨어스테크놀로지,KOSDAQ,169400.0,3321.5044183552986,57.8544061302682,1.3646944016787093
278470,에이피알,KOSPI,328500.0,3106.4359579605225,58.46994535519126,0.636335642874982
295310,에이치브이엠,KOSDAQ,103200.0,2977.2684931993936,65.24064171122996,0.7050809138200876
174900,앱클론,KOSDAQ,88500.0,2917.6699947749685,71.42857142857143,2.0629631946827125
002960,한국쉘석유,KOSPI,532000.0,2690.0772422619557,60.658578856152516,0.4960907770013146
322000,현대에너지솔루션,KOSPI,119400.0,2343.309377090778,63.26388888888889,0.35973870416123377
065660,안트로젠,KOSDAQ,57600.0,2240.7958362176173,75.62189054726369,0.9327906464831183
468530,프로티나,KOSDAQ,90800.0,2136.139780655068,60.572987721691675,2.201546223374426
043260,성호전자,KOSDAQ,46800.0,1814.7801637896891,78.98172323759792,0.4632108352439537
327260,머트리얼즈,KOSDAQ,65000.0,1791.8996919258152,63.96128071481757,0.573654159086353
003030,세아제강지주,KOSPI,159600.0,1630.6919207365215,60.24464831804281,1.5451869806094183
486990,노타,KOSDAQ,46650.0,1628.153106355952,66.39566395663957,1.8489046563623046
115180,큐리언트,KOSDAQ,48000.0,1601.9493341911075,69.23076923076923,0.8560036333383972
138080,오이솔루션,KOSDAQ,34150.0,1596.1305896592708,72.70455965021861,1.0798103647210149
475830,오름테라퓨틱,KOSDAQ,131100.0,1567.218457851804,50.158478605388275,0.7804095332457127
425420,티에프이,KOSDAQ,58800.0,1540.650385013149,65.15151515151516,1.355421613580787
126340,비나텍,KOSDAQ,138500.0,1523.9828937360307,59.76653696498055,1.5724769148510478
084110,휴온스글로벌,KOSDAQ,74400.0,1439.8571607669128,71.21951219512195,1.261986545717441
131290,티에스이,KOSDAQ,114500.0,1381.3507937650547,67.06507304116866,0.8823471632105725
141080,리가켐바이오,KOSDAQ,201000.0,1331.4544808627297,58.540630182421225,0.867850197512165
044490,태웅,KOSDAQ,44800.0,1269.7635651092646,60.483870967741936,0.7723123020698959
107640,한중엔시에스,KOSDAQ,60300.0,1268.275477983337,62.35807860262009,0.6794838327826017
226950,올릭스,KOSDAQ,186700.0,1260.6660058260804,63.089683773976155,0.5319169366469898
042700,한미반도체,KOSPI,300000.0,1245.9520071690895,64.15929203539824,0.3934421784098197
389020,자람테크놀로지,KOSDAQ,55900.0,1227.059840215723,51.639344262295076,1.0234749118263806
230240,에치에프알,KOSDAQ,27150.0,1176.8741932952983,70.14051522248243,1.1209936856448046
124500,아이티센글로벌,KOSDAQ,69400.0,1146.841280727027,65.93806921675774,0.5199373070793484
475150,이터닉스,KOSPI,38450.0,1101.6922913327844,65.28497409326425,0.7935181628469883
357580,아모센스,KOSDAQ,25100.0,1048.427846550009,79.86289631533847,2.766666988809749
389470,인벤티지랩,KOSDAQ,90800.0,1045.8902255626208,62.00873362445415,0.9998617773745699
089030,테크윙,KOSDAQ,64100.0,1028.830047227977,74.72256473489519,0.4109241131940887
101930,인화정공,KOSDAQ,49500.0,987.1891800366675,62.26415094339623,0.6806667194970547
234340,헥토파이낸셜,KOSDAQ,40300.0,946.1798840552101,77.9245283018868,0.5058304465197309
263750,펄어비스,KOSDAQ,68500.0,922.0774121325462,69.30803571428571,1.430780753526581
010060,홀딩스,KOSPI,158100.0,894.0302683300124,54.83071841453344,0.9006520932959953
052020,에스티큐브,KOSDAQ,17100.0,889.4972152685115,80.19075568598679,1.4889415104511428
005090,에너지,KOSPI,58100.0,888.6676425492078,62.71493212669683,0.6916218194542466
475400,씨메스,KOSDAQ,39750.0,871.1844820983447,56.39943741209564,1.2588877363679516
032500,케이엠더블유,KOSDAQ,26000.0,862.3239914899144,66.7380824852705,1.460726286916687
083650,비에이치아이,KOSDAQ,101500.0,851.6809165833138,57.76836158192091,0.7144007419455745
003925,남양유업우,KOSPI,45000.0,820.1077366569107,70.4057279236277,1.579597092596337
073490,이노와이어리스,KOSDAQ,41600.0,806.1659874369288,61.25574272588055,0.8458707578348763
338840,와이바이오로직스,KOSDAQ,33900.0,772.6126237695951,64.62715105162525,5.273754388782492
189300,인텔리안테크,KOSDAQ,133500.0,761.3940763895771,60.16771488469602,0.5934991848743224
452280,한선엔지니어링,KOSDAQ,16450.0,761.0657516169587,74.43548387096774,1.2182657681669153
347850,디앤디파마텍,KOSDAQ,87600.0,741.0601995075417,50.79365079365079,1.0690432844215993
098070,한텍,KOSDAQ,42150.0,723.3100427721155,58.695652173913054,1.613526492924983
306200,세아제강,KOSPI,138200.0,649.095443861851,52.214452214452216,1.545378578694957
336260,두산퓨얼셀,KOSPI,42850.0,644.3071879885433,59.88286969253294,0.9478295499800876
120110,코오롱인더,KOSPI,71200.0,632.0889850669914,59.57854406130268,0.769936321102816
290550,디케이티,KOSDAQ,19000.0,630.5291828704633,72.52888318356868,0.5281973247902091
082920,비츠로셀,KOSDAQ,28000.0,627.5595057852414,69.8507462686567,2.1275261136359096
123330,제닉,KOSDAQ,27500.0,620.7216495455847,64.80173818576861,0.9185222507461663
052690,한전기술,KOSPI,172400.0,620.6429711703477,54.19906687402799,0.8865011256127937
033160,엠케이전자,KOSDAQ,16010.0,615.1890314089283,74.12244897959184,2.8193035972627447
034020,두산에너빌리티,KOSPI,105700.0,607.9273175180747,52.859350850077284,0.7581180757252107
003920,남양유업,KOSPI,55900.0,606.4597723263549,61.979166666666664,1.6557349056319497
261220,원유선물,KOSPI,23560.0,595.5352692401614,73.14108001130901,2.2236593185488203
032820,우리기술,KOSDAQ,24000.0,591.1524455646095,68.04492087799898,0.9162042032537216
017960,한국카본,KOSPI,45850.0,585.2157901788291,59.39278937381404,0.5295096954037682
