symbol,name,market,price,low_60d,rebound_pct,rsi
305720,차전지산업,KOSPI,15935.0,13495.0,18.08077065579845,42.21585482330468
082850,우리바이오,KOSDAQ,1820.0,1542.0,18.028534370946826,45.67769477054429
419120,산돌,KOSDAQ,4130.0,3500.0,17.999999999999993,44.41260744985673
013990,아가방컴퍼니,KOSDAQ,4985.0,4225.0,17.988165680473365,53.4435261707989
058730,다스코,KOSPI,3445.0,2920.0,17.97945205479452,42.71844660194174
399580,글로벌클린에너지,KOSPI,10345.0,8769.0,17.97240278252936,53.97727272727273
483420,애플밸류체인액티브,KOSPI,16970.0,14385.0,17.97010775112964,47.12643678160919
092040,아미코젠,KOSDAQ,1386.0,1175.0,17.957446808510635,42.201834862385326
225430,케이엠제약,KOSDAQ,401.0,340.0,17.94117647058824,44.466403162055336
220130,차이나강소기업CSI500,KOSPI,6905.0,5855.0,17.933390264730996,50.2092050209205
008970,동양철관,KOSPI,1720.0,1459.0,17.888965044551064,42.76401564537157
063170,서울옥션,KOSDAQ,7990.0,6780.0,17.84660766961652,40.33057851239669
466920,조선TOP3플러스,KOSPI,36890.0,31310.0,17.821782178217816,42.978208232445525
466810,차전지양극재,KOSPI,6555.0,5565.0,17.78975741239892,41.170212765957444
067080,대화제약,KOSDAQ,14900.0,12650.0,17.786561264822144,47.46113989637306
416180,신성에스티,KOSDAQ,35100.0,29800.0,17.785234899328863,44.2
065530,와이어블,KOSDAQ,1424.0,1209.0,17.783291976840367,56.326530612244895
462900,바이오헬스케어액티브,KOSPI,23705.0,20130.0,17.759562841530062,50.12605042016807
069330,유아이디,KOSDAQ,1009.0,857.0,17.736289381563598,46.45161290322581
128660,피제이메탈,KOSDAQ,3255.0,2765.0,17.721518987341778,52.45098039215686
177900,쓰리에이로직스,KOSDAQ,5920.0,5030.0,17.693836978131205,42.7860696517413
032960,동일기연,KOSDAQ,16500.0,14020.0,17.68901569186876,52.31788079470199
433220,에셋플러스,KOSPI,28790.0,24495.0,17.534190651153292,50.513950073421434
114450,그린생명과학,KOSDAQ,2750.0,2340.0,17.521367521367527,45.0
446540,메가터치,KOSDAQ,3860.0,3285.0,17.503805175038046,43.34277620396601
411060,금현물,KOSPI,33500.0,28515.0,17.48202700333159,49.11452184179458
002780,진흥기업,KOSPI,793.0,675.0,17.481481481481474,43.6241610738255
424760,벨로크,KOSDAQ,1042.0,887.0,17.47463359639234,46.59400544959128
402460,메타버스MZ,KOSPI,9870.0,8405.0,17.430101130279585,40.546697038724375
001260,남광토건,KOSPI,9030.0,7690.0,17.425227568270472,50.53191489361702
461340,글로벌생성형AI액티브,KOSPI,30665.0,26121.0,17.39596493242985,52.902662592754254
