symbol,name,market,price,avg_amount,volume_ratio
047310,파워로직스,KOSDAQ,5240.0,4163414067.75,0.2112364596065756
094170,동운아나텍,KOSDAQ,26500.0,4148528600.0,0.6522313004427964
016600,큐캐피탈,KOSDAQ,284.0,4146955138.15,0.2532961173213163
004490,세방전지,KOSPI,59800.0,4136884930.0,0.30572881450867584
015260,에이엔피,KOSPI,700.0,4136032377.8,0.08385592915546386
203400,에이비온,KOSDAQ,3025.0,4126951129.5,0.4621292368257831
426020,미국S,KOSPI,28890.0,4124465797.75,0.8995807486376692
200670,휴메딕스,KOSDAQ,36200.0,4121757495.0,0.2696586511030163
018000,유니슨,KOSDAQ,1181.0,4115097224.95,0.5187389376717212
014830,유니드,KOSPI,82600.0,4109792625.0,0.6478359492987599
001060,중외제약,KOSPI,31650.0,4102393405.0,0.48067505335751587
015710,코콤,KOSDAQ,3845.0,4099576524.25,0.12241236787027103
092790,넥스틸,KOSPI,11830.0,4088663018.0,0.6699373298727607
053080,케이엔솔,KOSDAQ,11400.0,4088522696.0,0.8650507456295871
253450,스튜디오드래곤,KOSDAQ,40050.0,4087749350.0,0.58770288138871
036620,감성코퍼레이션,KOSDAQ,5690.0,4078689473.0,0.3091042358595244
220100,퓨쳐켐,KOSDAQ,21900.0,4064845729.0,1.391062804530445
036200,유니셈,KOSDAQ,9680.0,4038264534.5,0.344038858572273
053690,한미글로벌,KOSPI,19620.0,4026166741.0,0.6907664139658839
293490,카카오게임즈,KOSDAQ,13380.0,4013898825.5,0.5281358458995717
037460,삼지전자,KOSDAQ,22300.0,3980830985.0,0.6412644228764838
471230,국고채10년액티브,KOSPI,107300.0,3975707354.25,2.153723704496817
385560,국고채30년Enhanced,KOSPI,64290.0,3975354988.8,0.6395605296601484
227950,엔투텍,KOSDAQ,503.0,3959096329.75,0.10173945176062231
215600,신라젠,KOSDAQ,3395.0,3950347501.75,0.4347994360137374
441540,조선해운,KOSPI,32220.0,3930615550.0,0.48465654645013145
139270,금융,KOSPI,15860.0,3927227303.75,0.13840400453428012
092040,아미코젠,KOSDAQ,1386.0,3925293871.2,0.27455655719150784
473640,글로벌금채굴기업,KOSPI,36485.0,3917300263.75,1.3311942309385667
490090,미국AI빅테크10,KOSPI,14540.0,3916847252.75,2.1053854711285056
192080,더블유게임즈,KOSPI,49650.0,3915162520.0,0.5468775067113018
094360,칩스앤미디어,KOSDAQ,16460.0,3912422471.5,0.2934360360231058
005945,투자증권우,KOSPI,26150.0,3909722990.0,0.48468061300570053
314250,미국빅테크10,KOSPI,50155.0,3906176070.5,0.3770673120548969
216080,제테마,KOSDAQ,8460.0,3881130119.0,0.601196577220707
000520,삼일제약,KOSPI,9910.0,3877254468.0,0.486244182577441
093240,형지엘리트,KOSPI,1020.0,3871062691.95,0.17763154162351338
033530,세종,KOSPI,8380.0,3861005356.5,0.23360479773568177
297090,씨에스베어링,KOSDAQ,7400.0,3859622188.5,0.9938259865655561
097870,효성오앤비,KOSDAQ,6560.0,3846932575.0,1.0380036946344664
002680,한탑,KOSDAQ,782.0,3846762638.6,0.508641648130048
020120,키다리스튜디오,KOSPI,3400.0,3834915724.5,0.09317680712068088
476260,반도체핵심공정주도주,KOSPI,12550.0,3830214517.0,0.4470560575342157
013030,하이록코리아,KOSDAQ,35800.0,3814528537.5,0.7644766020720372
039560,다산네트웍스,KOSDAQ,4480.0,3808684033.25,1.4231379496661951
009240,한샘,KOSPI,42150.0,3790157840.0,0.28376448104353136
271980,제일약품,KOSPI,14750.0,3768247328.0,0.11388113291634747
002720,국제약품,KOSPI,4965.0,3758435155.0,0.3265489829856826
001250,글로벌,KOSPI,2515.0,3752216630.75,0.8658698385844139
067000,조이시티,KOSDAQ,2585.0,3718073024.0,0.5717343049426497
064960,모티브,KOSPI,32700.0,3711336602.5,0.5483322398561401
002960,한국쉘석유,KOSPI,532000.0,3694884300.0,0.4960907770013146
365340,성일하이텍,KOSDAQ,56300.0,3689862527.5,0.833313558075187
208370,셀바스헬스케어,KOSDAQ,4565.0,3683496825.5,1.2555579302461934
059270,해성에어로보틱스,KOSDAQ,10500.0,3676601485.5,0.28396687422035227
234030,싸이닉솔루션,KOSDAQ,7300.0,3673795474.5,0.2895586994473322
051370,인터플렉스,KOSDAQ,12620.0,3673310475.0,0.7465969937423392
285490,노바텍,KOSDAQ,22900.0,3652937477.5,0.44402498375789884
005950,이수화학,KOSPI,7820.0,3652283542.5,0.28072811459103925
264660,씨앤지하이테크,KOSDAQ,17700.0,3651603965.5,0.2969087197508945
012800,대창,KOSPI,1343.0,3650057725.5,0.266763173017299
