date,code,name,entry_price,exit_price,return,exit_reason,signals,gap_pct,change_pct,trade_amount
2026-03-04,114800,Stock,1736.6399999999999,1710.5903999999998,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': False, 'vwap_condition': True, 'momentum': True}",3.783783783783784,8.275462962962964,1766639309612.0
2026-03-04,003280,흥아해운,2587.8749999999995,2549.0568749999993,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': True, 'vwap_condition': True, 'momentum': True}",10.515021459227468,12.815533980582524,658348779830.0
2026-03-04,251340,Stock,2221.0499999999997,2187.7342499999995,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': False, 'vwap_condition': True, 'momentum': True}",2.7906976744186047,13.34841628959276,283934129790.0
2026-03-04,005860,한일사료,3773.7749999999996,3717.1683749999997,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': True, 'vwap_condition': True, 'momentum': True}",4.450625869262865,15.312916111850866,232697062130.0
2026-03-04,117580,대성에너지,12612.749999999998,12423.558749999998,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': True, 'vwap_condition': True, 'momentum': True}",20.095693779904305,8.207171314741036,148834369180.0
2026-03-04,402490,그린리소스,10401.749999999998,10245.723749999997,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': True, 'vwap_condition': False, 'momentum': True}",6.3720452209660845,4.444444444444445,131803141050.0
2026-03-04,053050,지에스이,3567.7499999999995,3514.2337499999994,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': True, 'vwap_condition': True, 'momentum': True}",14.886731391585762,12.957746478873238,129343716910.0
2026-03-04,014530,극동유화,5376.749999999999,5296.098749999999,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': True, 'vwap_condition': True, 'momentum': True}",15.926327193932826,11.962616822429908,109887250830.0
2026-03-04,000440,중앙에너비스,32310.749999999996,31826.088749999995,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': True, 'vwap_condition': True, 'momentum': True}",27.32673267326733,2.021772939346812,60633686400.0
2026-03-04,123310,Stock,1953.7199999999998,1924.4141999999997,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': False, 'vwap_condition': True, 'momentum': True}",4.516129032258064,7.510288065843622,48912476910.0
2026-03-04,465350,Stock,18341.249999999996,18891.487499999996,3.0,take_profit,"{'gap_up': False, 'bullish': True, 'volume_spike': True, 'vwap_condition': True, 'momentum': True}",1.4452473596442468,13.753424657534246,25324252080.0
2026-03-05,KS11,Stock,5277.174599999999,5435.4898379999995,3.0,take_profit,"{'gap_up': True, 'bullish': True, 'volume_spike': False, 'vwap_condition': True, 'momentum': True}",3.0897960946610827,6.341364941762579,9273241065003.299
2026-03-05,229200,Stock,18632.699999999997,19191.680999999997,3.0,take_profit,"{'gap_up': True, 'bullish': True, 'volume_spike': False, 'vwap_condition': True, 'momentum': True}",8.675263774912075,5.582524271844661,2593824016050.0
2026-03-05,233740,Stock,15627.749999999998,15393.333749999998,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': False, 'vwap_condition': True, 'momentum': True}",16.917293233082706,7.556270096463022,2457400169100.0
2026-03-05,396500,Stock,33265.5,34263.465000000004,3.0,take_profit,"{'gap_up': True, 'bullish': True, 'volume_spike': False, 'vwap_condition': True, 'momentum': True}",13.70663002404672,3.141993957703928,2112570363360.0
2026-03-05,024060,흥구석유,25979.249999999996,25589.561249999995,-1.5,stop_loss,"{'gap_up': False, 'bullish': True, 'volume_spike': True, 'vwap_condition': True, 'momentum': True}",-12.962962962962962,26.4990328820116,1712977008600.0
2026-03-05,079550,LIG넥스원,651239.9999999999,641471.3999999999,-1.5,stop_loss,"{'gap_up': True, 'bullish': True, 'volume_spike': False, 'vwap_condition': True, 'momentum': True}",4.68497576736672,17.746913580246915,1539125126000.0
