symbol,name,market,strategy,score,price,volatility,returns_6m,max_dd,rsi,details
008060,대덕,KOSPI,배당성장,70,12960.0,50.18,55.4,-18.22,56.6,"['❌ 변동성 50.2% (높음)', '✅ 꾸준한 성장 (6M 55.4%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-18.2%)', '✅ RSI 적정 (56.6)']"
017670,텔레콤,KOSPI,배당성장,70,76300.0,62.63,38.48,-18.73,43.7,"['❌ 변동성 62.6% (높음)', '✅ 꾸준한 성장 (6M 38.5%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-18.7%)', '✅ RSI 적정 (43.7)']"
023000,삼원강재,KOSPI,배당성장,70,2345.0,19.59,-4.29,-13.38,40.0,"['✅ 변동성 19.6% (매우 안정)', '❌ 변동 큼 (6M -4.3%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-13.4%)', '✅ RSI 적정 (40.0)']"
025000,케미칼,KOSPI,배당성장,70,49850.0,27.46,5.7,-11.72,32.3,"['✅ 변동성 27.5% (매우 안정)', '✅ 꾸준한 성장 (6M 5.7%)', '✅ 낙폭 작음 (-11.7%)']"
032830,삼성생명,KOSPI,배당성장,70,212000.0,58.72,32.58,-19.72,43.3,"['❌ 변동성 58.7% (높음)', '✅ 꾸준한 성장 (6M 32.6%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-19.7%)', '✅ RSI 적정 (43.3)']"
035000,애드,KOSPI,배당성장,70,8760.0,22.33,-2.67,-12.47,51.1,"['✅ 변동성 22.3% (매우 안정)', '❌ 변동 큼 (6M -2.7%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-12.5%)', '✅ RSI 적정 (51.1)']"
035250,강원랜드,KOSPI,배당성장,70,18050.0,25.22,0.22,-18.83,32.6,"['✅ 변동성 25.2% (매우 안정)', '⚡ 안정적 (6M 0.2%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-18.8%)']"
039570,랩스,KOSPI,배당성장,70,8630.0,14.82,-1.26,-19.7,52.1,"['✅ 변동성 14.8% (매우 안정)', '❌ 변동 큼 (6M -1.3%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-19.7%)', '✅ RSI 적정 (52.1)']"
053210,스카이라이프,KOSPI,배당성장,70,5170.0,24.51,-0.39,-14.63,46.2,"['✅ 변동성 24.5% (매우 안정)', '❌ 변동 큼 (6M -0.4%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-14.6%)', '✅ RSI 적정 (46.2)']"
114260,국고채3년,KOSPI,배당성장,70,61655.0,2.51,-1.02,-1.56,44.8,"['✅ 변동성 2.5% (매우 안정)', '❌ 변동 큼 (6M -1.0%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-1.6%)', '✅ RSI 적정 (44.8)']"
120115,코오롱인더우,KOSPI,배당성장,70,27700.0,44.47,19.14,-14.23,47.6,"['❌ 변동성 44.5% (높음)', '✅ 꾸준한 성장 (6M 19.1%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-14.2%)', '✅ RSI 적정 (47.6)']"
137610,농산물선물Enhanced,KOSPI,배당성장,70,5455.0,16.62,6.23,-12.34,71.0,"['✅ 변동성 16.6% (매우 안정)', '✅ 꾸준한 성장 (6M 6.2%)', '✅ 낙폭 작음 (-12.3%)']"
138230,미국달러선물,KOSPI,배당성장,70,17305.0,11.65,9.68,-8.05,68.6,"['✅ 변동성 11.7% (매우 안정)', '✅ 꾸준한 성장 (6M 9.7%)', '✅ 낙폭 작음 (-8.0%)']"
138910,구리선물,KOSPI,배당성장,70,9025.0,36.35,20.01,-25.83,42.6,"['⚡ 변동성 36.4% (안정)', '✅ 꾸준한 성장 (6M 20.0%)', '⚡ 낙폭 보통 (-25.8%)', '✅ RSI 적정 (42.6)']"
138920,콩선물,KOSPI,배당성장,70,12250.0,16.36,11.41,-10.92,65.8,"['✅ 변동성 16.4% (매우 안정)', '✅ 꾸준한 성장 (6M 11.4%)', '✅ 낙폭 작음 (-10.9%)']"
139230,중공업,KOSPI,배당성장,70,15995.0,56.59,29.3,-18.76,43.8,"['❌ 변동성 56.6% (높음)', '✅ 꾸준한 성장 (6M 29.3%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-18.8%)', '✅ RSI 적정 (43.8)']"
147970,모멘텀,KOSPI,배당성장,70,67025.0,51.7,40.09,-19.33,45.8,"['❌ 변동성 51.7% (높음)', '✅ 꾸준한 성장 (6M 40.1%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-19.3%)', '✅ RSI 적정 (45.8)']"
148070,국고채10년,KOSPI,배당성장,70,107825.0,6.25,-4.96,-6.9,46.2,"['✅ 변동성 6.2% (매우 안정)', '❌ 변동 큼 (6M -5.0%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-6.9%)', '✅ RSI 적정 (46.2)']"
168580,중국본토CSI300,KOSPI,배당성장,70,36480.0,14.14,14.35,-11.06,66.4,"['✅ 변동성 14.1% (매우 안정)', '✅ 꾸준한 성장 (6M 14.3%)', '✅ 낙폭 작음 (-11.1%)']"
192090,차이나CSI300,KOSPI,배당성장,70,13300.0,13.31,15.75,-13.88,69.4,"['✅ 변동성 13.3% (매우 안정)', '✅ 꾸준한 성장 (6M 15.8%)', '✅ 낙폭 작음 (-13.9%)']"
195930,유로스탁스50,KOSPI,배당성장,70,20775.0,19.54,6.28,-16.2,34.7,"['✅ 변동성 19.5% (매우 안정)', '✅ 꾸준한 성장 (6M 6.3%)', '✅ 낙폭 작음 (-16.2%)']"
213610,삼성그룹밸류,KOSPI,배당성장,70,16640.0,45.86,56.83,-18.9,42.1,"['❌ 변동성 45.9% (높음)', '✅ 꾸준한 성장 (6M 56.8%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-18.9%)', '✅ RSI 적정 (42.1)']"
214320,이노션,KOSPI,배당성장,70,19540.0,24.1,5.51,-23.3,37.9,"['✅ 변동성 24.1% (매우 안정)', '✅ 꾸준한 성장 (6M 5.5%)', '⚡ 낙폭 보통 (-23.3%)', '⚡ RSI 보통 (37.9)']"
215620,코리아로우볼,KOSPI,배당성장,70,17750.0,29.74,9.1,-13.37,34.2,"['✅ 변동성 29.7% (매우 안정)', '✅ 꾸준한 성장 (6M 9.1%)', '✅ 낙폭 작음 (-13.4%)']"
225800,미국달러선물레버리지,KOSPI,배당성장,70,17520.0,23.6,18.35,-16.54,67.3,"['✅ 변동성 23.6% (매우 안정)', '✅ 꾸준한 성장 (6M 18.4%)', '✅ 낙폭 작음 (-16.5%)']"
226490,코스피,KOSPI,배당성장,70,57260.0,50.45,64.97,-19.38,45.6,"['❌ 변동성 50.4% (높음)', '✅ 꾸준한 성장 (6M 65.0%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-19.4%)', '✅ RSI 적정 (45.6)']"
244580,바이오,KOSPI,배당성장,70,13175.0,54.54,27.48,-18.29,46.5,"['❌ 변동성 54.5% (높음)', '✅ 꾸준한 성장 (6M 27.5%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-18.3%)', '✅ RSI 적정 (46.5)']"
251590,고배당저변동50,KOSPI,배당성장,70,17655.0,28.92,13.19,-13.72,32.6,"['✅ 변동성 28.9% (매우 안정)', '✅ 꾸준한 성장 (6M 13.2%)', '✅ 낙폭 작음 (-13.7%)']"
256450,심천차이넥스트,KOSPI,배당성장,70,15350.0,24.01,18.12,-22.4,62.2,"['✅ 변동성 24.0% (매우 안정)', '✅ 꾸준한 성장 (6M 18.1%)', '⚡ 낙폭 보통 (-22.4%)', '⚡ RSI 보통 (62.2)']"
261110,미국달러선물레버리지,KOSPI,배당성장,70,18505.0,24.18,18.39,-16.28,67.8,"['✅ 변동성 24.2% (매우 안정)', '✅ 꾸준한 성장 (6M 18.4%)', '✅ 낙폭 작음 (-16.3%)']"
266160,고배당,KOSPI,배당성장,70,28400.0,47.91,63.28,-18.59,42.4,"['❌ 변동성 47.9% (높음)', '✅ 꾸준한 성장 (6M 63.3%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-18.6%)', '✅ RSI 적정 (42.4)']"
267290,경동도시가스,KOSPI,배당성장,70,22100.0,22.01,7.8,-13.49,31.0,"['✅ 변동성 22.0% (매우 안정)', '✅ 꾸준한 성장 (6M 7.8%)', '✅ 낙폭 작음 (-13.5%)']"
272560,단기국공채액티브,KOSPI,배당성장,70,113630.0,0.36,0.96,-0.09,72.7,"['✅ 변동성 0.4% (매우 안정)', '⚡ 안정적 (6M 1.0%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-0.1%)']"
298340,국채선물3년,KOSPI,배당성장,70,56220.0,2.64,-1.01,-1.62,48.1,"['✅ 변동성 2.6% (매우 안정)', '❌ 변동 큼 (6M -1.0%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-1.6%)', '✅ RSI 적정 (48.1)']"
298770,한국대만IT프리미어,KOSPI,배당성장,70,55075.0,40.91,71.74,-19.35,49.9,"['❌ 변동성 40.9% (높음)', '✅ 꾸준한 성장 (6M 71.7%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-19.3%)', '✅ RSI 적정 (49.9)']"
332610,미국단기회사채,KOSPI,배당성장,70,136530.0,12.18,9.47,-9.17,66.2,"['✅ 변동성 12.2% (매우 안정)', '✅ 꾸준한 성장 (6M 9.5%)', '✅ 낙폭 작음 (-9.2%)']"
365040,코리아그로스액티브,KOSPI,배당성장,70,28100.0,49.72,63.71,-19.58,45.5,"['❌ 변동성 49.7% (높음)', '✅ 꾸준한 성장 (6M 63.7%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-19.6%)', '✅ RSI 적정 (45.5)']"
367770,수소경제테마,KOSPI,배당성장,70,24600.0,52.57,59.17,-18.01,49.0,"['❌ 변동성 52.6% (높음)', '✅ 꾸준한 성장 (6M 59.2%)', '⚡ 거래 보통', '✅ 낙폭 작음 (-18.0%)', '✅ RSI 적정 (49.0)']"
