date,code,name,return,exit_reason,market_regime,gap_pct
2026-04-01,449450,Stock,3.0,take_profit,neutral,4.518905625576391
2026-04-01,047810,한국항공우주,3.0,take_profit,neutral,6.253794778384942
2026-04-01,108490,로보티즈,-1.5,stop_loss,neutral,6.639004149377594
2026-04-02,091580,상신이디피,-1.5,stop_loss,neutral,2.094240837696335
2026-04-02,496770,Stock,3.0,take_profit,neutral,4.032860343539955
2026-04-02,092790,넥스틸,-1.5,stop_loss,neutral,2.586206896551724
2026-04-02,008350,남선알미늄,-1.5,stop_loss,neutral,2.389705882352941
2026-04-02,012200,계양전기,3.0,take_profit,neutral,4.4799999999999995
2026-04-03,385510,Stock,3.0,take_profit,neutral,2.36894570188812
2026-04-03,494670,Stock,3.0,take_profit,neutral,1.6312893081761006
2026-04-03,014620,성광벤드,3.0,take_profit,neutral,4.005524861878453
2026-04-03,336260,두산퓨얼셀,-1.5,stop_loss,neutral,3.6775106082036775
2026-04-03,457990,Stock,3.0,take_profit,neutral,1.8917729872415312
2026-04-07,037030,파워넷,-1.5,stop_loss,neutral,4.761904761904762
2026-04-07,083450,GST,-1.5,stop_loss,neutral,2.912621359223301
2026-04-07,365340,성일하이텍,-1.5,stop_loss,neutral,2.8380634390651087
2026-04-07,107600,새빗켐,3.0,take_profit,neutral,2.3904382470119523
2026-04-07,036830,솔브레인홀딩스,3.0,take_profit,neutral,1.7857142857142856
2026-04-08,017670,SK텔레콤,-1.5,stop_loss,neutral,4.901960784313726
2026-04-08,298040,효성중공업,-1.5,stop_loss,neutral,6.896551724137931
2026-04-08,001440,대한전선,3.0,take_profit,neutral,5.328596802841918
2026-04-08,403870,HPSP,3.0,take_profit,neutral,5.642256902761105
2026-04-08,292150,Unknown,-1.5,stop_loss,neutral,4.823151125401929
2026-04-09,278470,에이피알,3.0,take_profit,neutral,6.4083457526080485
2026-04-09,047810,한국항공우주,-1.5,stop_loss,neutral,1.5756302521008403
2026-04-09,054620,APS,-1.5,stop_loss,neutral,3.0303030303030303
2026-04-09,228790,Unknown,3.0,take_profit,neutral,1.7142857142857144
2026-04-09,017670,SK텔레콤,-1.5,stop_loss,neutral,4.49438202247191
2026-04-10,001820,삼화콘덴서,3.0,take_profit,neutral,2.910958904109589
2026-04-10,005290,동진쎄미켐,3.0,take_profit,neutral,3.107658157602664
2026-04-10,062040,산일전기,3.0,take_profit,neutral,3.017543859649123
2026-04-10,011070,LG이노텍,3.0,take_profit,neutral,2.4926686217008798
2026-04-10,034220,LG디스플레이,3.0,take_profit,neutral,1.6101694915254237
