symbol,name,market,strategy,score,price,returns_6m,return_std,from_52w_high,rsi,volume_trend,details
091700,파트론,KOSDAQ,퀄리티 적정가,80,8370.0,28.77,6.04,-2.67,54.8,1.76,"['✅ 6M 수익 28.8%', '✅ 변동성 낮음 (σ=6.0)', '❌ 52주 고점 대비 -2.7%', '✅ 모멘텀 양호 (RSI 54.8, MACD+)', '✅ 관심 증가 (거래량 1.8배)']"
100590,머큐리,KOSDAQ,퀄리티 적정가,80,4990.0,53.54,6.13,-3.67,68.5,4.03,"['✅ 6M 수익 53.5%', '✅ 변동성 낮음 (σ=6.1)', '❌ 52주 고점 대비 -3.7%', '✅ 모멘텀 양호 (RSI 68.5, MACD+)', '✅ 관심 증가 (거래량 4.0배)']"
112290,와이씨켐,KOSDAQ,퀄리티 적정가,80,26850.0,21.22,7.35,-4.45,54.0,1.5,"['✅ 6M 수익 21.2%', '✅ 변동성 낮음 (σ=7.4)', '❌ 52주 고점 대비 -4.4%', '✅ 모멘텀 양호 (RSI 54.0, MACD+)', '✅ 관심 증가 (거래량 1.5배)']"
122990,와이솔,KOSDAQ,퀄리티 적정가,80,7580.0,25.29,5.04,0.0,66.7,2.34,"['✅ 6M 수익 25.3%', '✅ 변동성 낮음 (σ=5.0)', '❌ 52주 고점 대비 0.0%', '✅ 모멘텀 양호 (RSI 66.7, MACD+)', '✅ 관심 증가 (거래량 2.3배)']"
126640,화신정공,KOSDAQ,퀄리티 적정가,80,1550.0,17.42,5.18,-14.84,52.3,0.31,"['✅ 6M 수익 17.4%', '✅ 변동성 낮음 (σ=5.2)', '✅ 52주 고점 대비 -14.8%', '✅ 모멘텀 양호 (RSI 52.3, MACD+)']"
126700,하이비젼시스템,KOSDAQ,퀄리티 적정가,80,17600.0,12.39,9.89,-16.59,46.3,1.52,"['⚡ 6M 수익 12.4%', '⚡ 변동성 보통 (σ=9.9)', '✅ 52주 고점 대비 -16.6%', '⚡ 모멘텀 보통 (RSI 46.3)', '✅ 관심 증가 (거래량 1.5배)']"
204610,티쓰리,KOSDAQ,퀄리티 적정가,80,2740.0,25.69,7.76,0.0,85.2,1.42,"['✅ 6M 수익 25.7%', '✅ 변동성 낮음 (σ=7.8)', '❌ 52주 고점 대비 0.0%', '✅ 모멘텀 양호 (RSI 85.2, MACD+)', '✅ 관심 증가 (거래량 1.4배)']"
241690,유니테크노,KOSDAQ,퀄리티 적정가,80,3900.0,18.36,6.89,-6.25,51.0,0.43,"['✅ 6M 수익 18.4%', '✅ 변동성 낮음 (σ=6.9)', '✅ 52주 고점 대비 -6.2%', '✅ 모멘텀 양호 (RSI 51.0, MACD+)']"
309710,아이티켐,KOSDAQ,퀄리티 적정가,80,36200.0,102.23,38.05,-27.16,55.8,1.5,"['✅ 6M 수익 102.2%', '❌ 변동성 높음 (σ=38.1)', '⚡ 52주 고점 대비 -27.2%', '✅ 모멘텀 양호 (RSI 55.8, MACD+)', '✅ 관심 증가 (거래량 1.5배)']"
339950,아이비김영,KOSDAQ,퀄리티 적정가,80,2320.0,13.45,4.77,-24.31,54.6,3.1,"['⚡ 6M 수익 13.4%', '✅ 변동성 낮음 (σ=4.8)', '⚡ 52주 고점 대비 -24.3%', '⚡ 모멘텀 보통 (RSI 54.6)', '✅ 관심 증가 (거래량 3.1배)']"
