symbol,name,market,price,strategies_count,s1_top20,s2_turnaround,s3_momentum,s4_breakout,s5_ma200,s1_value,s2_value,s3_value,s4_value,s5_value
008370,원풍,KOSDAQ,4880.0,2,False,False,True,False,True,103158752.25,6.550218340611358,51.77664974619289,62483520.0,2.5781159679233
011560,세보엠이씨,KOSDAQ,17780.0,2,True,False,False,False,True,1591311142.5,31.411677753141177,62.34413965087282,721103460.0,30.908555441024888
013030,하이록코리아,KOSDAQ,35800.0,2,True,False,False,False,True,3814528537.5,20.336134453781508,35.51912568306011,2775609800.0,9.16547870434603
013310,아진산업,KOSDAQ,3220.0,2,True,False,False,False,True,2220345018.5,17.948717948717952,39.24731182795699,4513899040.0,3.826590247716699
013810,스페코,KOSDAQ,2840.0,2,True,True,False,False,False,3397137260.0,21.36752136752136,52.230971128608914,1761771280.0,2.926519887650625
014100,메디앙스,KOSDAQ,1687.0,2,False,True,True,False,False,702829822.5,10.622950819672127,51.72413793103448,27228180.0,-12.524953980970155
014620,성광벤드,KOSDAQ,33150.0,2,True,False,False,False,True,13652249135.0,31.027667984189723,37.1868978805395,9823637850.0,7.861000845968635
015710,코콤,KOSDAQ,3845.0,2,True,True,False,False,False,4099576524.25,14.264487369985135,48.717948717948715,501772500.0,-0.835611492237065
016100,리더스코스메틱,KOSDAQ,1600.0,2,False,True,True,False,False,336738859.25,20.30075187969924,52.84653465346535,31929600.0,-27.88261091992491
016600,큐캐피탈,KOSDAQ,284.0,2,True,False,False,False,True,4146955138.15,19.831223628691987,20.103092783505147,849506480.0,4.204887355984432
016670,디모아,KOSDAQ,4200.0,2,False,True,True,False,False,333852737.5,18.309859154929576,55.94713656387665,30298800.0,-21.797539415436606
017510,세명전기,KOSDAQ,9420.0,2,True,False,False,False,True,14593980563.0,14.878048780487795,33.95348837209302,2137821900.0,1.2810657090480904
017890,한국알콜,KOSDAQ,11050.0,2,True,False,False,False,True,1607450972.0,9.405940594059414,35.4120267260579,1591785650.0,8.339175151601296
018000,유니슨,KOSDAQ,1181.0,2,True,True,False,False,False,4115097224.95,26.17521367521367,49.86631016042781,2169663521.0,-3.3986340026992745
019010,베뉴지,KOSDAQ,4615.0,2,True,False,False,False,True,1590588376.5,79.22330097087378,33.46613545816733,453857560.0,63.04827854228128
019660,글로본,KOSDAQ,2400.0,2,False,True,True,False,False,94713015.5,18.226600985221687,59.523809523809526,14457600.0,-11.167864975154762
019990,에너토크,KOSDAQ,9050.0,2,True,False,False,False,True,7615021323.5,33.28424153166421,39.14529914529915,4063612900.0,14.202068256241684
020400,대동금속,KOSDAQ,6600.0,2,True,False,False,False,True,1654836196.0,21.100917431192666,36.0,82321800.0,8.75923835575807
021080,에이티넘인베스트,KOSDAQ,3085.0,2,True,False,False,False,True,2551977580.0,17.973231357552578,35.560344827586206,1139497195.0,11.666123719549715
023410,유진기업,KOSDAQ,4265.0,2,True,False,False,False,True,2449191599.5,22.206303724928354,29.715762273901817,713752015.0,16.89014655804426
023760,한국캐피탈,KOSDAQ,995.0,2,True,False,False,False,True,1180810334.7,30.40629095674967,30.0,542580465.0,22.719816475289534
023770,플레이위드,KOSDAQ,2875.0,2,False,True,True,False,False,86672460.75,10.15325670498084,55.03875968992248,53969500.0,-19.539908205530054
024830,세원물산,KOSDAQ,11510.0,2,False,True,False,False,True,140785290.0,15.100000000000001,43.18181818181818,85853090.0,12.258731505593424
024910,경창산업,KOSDAQ,1815.0,2,True,False,False,False,True,1131937131.65,21.730382293762585,36.867239732569246,204535980.0,5.315685944562754
025440,오토웨어,KOSDAQ,914.0,2,False,True,False,False,True,248450596.3,26.944444444444436,40.27777777777777,168529718.0,7.1179528048144425
025550,한국선재,KOSDAQ,3380.0,2,True,True,False,False,False,1041399812.75,16.551724137931046,44.64285714285714,836904900.0,-5.162073246866205
027040,서울전자통신,KOSDAQ,370.0,2,False,False,True,False,True,365039042.55,94.73684210526316,93.78531073446328,327235030.0,66.80567139282736
031860,디에이치엑스컴퍼니,KOSDAQ,512.0,2,False,True,True,False,False,852340680.6,93.20754716981132,53.366336633663366,1011906560.0,-37.24105807653649
032080,아즈텍WB,KOSDAQ,1315.0,2,False,True,True,False,False,105756561.15,10.876897133220908,50.76923076923077,30118760.0,1.1382864174742213
032190,다우데이타,KOSDAQ,23800.0,2,True,False,False,False,True,6459293990.0,37.651821862348164,27.631578947368425,1832433400.0,26.782546624547866
032540,미디어,KOSDAQ,6190.0,2,False,True,False,False,True,152676406.5,15.270018621973925,50.806451612903224,24561920.0,7.282748102187253
032620,유비케어,KOSDAQ,3990.0,2,True,False,False,False,True,1139123481.25,9.917355371900815,41.780821917808225,741038760.0,1.302460202604916
032940,원익,KOSDAQ,10240.0,2,True,False,False,False,True,5021640488.0,51.25553914327918,40.0,999301120.0,22.35083264879396
033050,제이엠아이,KOSDAQ,897.0,2,False,True,False,False,True,52302848.0,12.83018867924528,51.68918918918919,31524168.0,5.988278665280267
033100,제룡전기,KOSDAQ,48650.0,2,True,False,False,False,True,17018188100.0,38.60398860398861,37.76,4766532400.0,23.97905225468584
033200,모아텍,KOSDAQ,3750.0,2,False,True,False,False,True,191548079.25,17.1875,40.06514657980457,11070000.0,9.098050054185357
033230,인성정보,KOSDAQ,1577.0,2,True,True,False,False,False,2061576272.45,12.804005722460655,43.70477568740956,188500387.0,-19.184154559663824
033320,제이씨현시스템,KOSDAQ,4525.0,2,True,True,False,False,False,5547088781.5,13.83647798742138,51.967213114754095,1796560750.0,-6.379633173678723
033340,좋은사람들,KOSDAQ,1868.0,2,True,False,False,False,True,15180253739.4,18.22784810126583,38.1371932032725,9377130236.0,6.200928973864794
033560,블루콤,KOSDAQ,3165.0,2,False,True,True,False,False,167296190.0,13.23792486583184,53.164556962025316,70810545.0,0.9585479832214361
033790,피노,KOSDAQ,4920.0,2,True,False,False,False,True,2322159704.75,2.0746887966804906,37.023809523809526,5184213840.0,4.545720159580968
035810,이지홀딩스,KOSDAQ,6090.0,2,True,False,False,False,True,13435017291.5,37.471783295711056,31.002331002331005,2766747900.0,37.22938601679877
036010,아비코전자,KOSDAQ,7780.0,2,True,False,False,False,True,1031413510.0,15.946348733233972,39.4045534150613,428685780.0,10.374962759090334
036480,대성미생물,KOSDAQ,9880.0,2,True,False,True,False,False,2513277179.0,60.12965964343597,70.66450567260941,14871623000.0,28.73383497833806
036630,세종텔레콤,KOSDAQ,7980.0,2,False,True,False,False,True,269095324.0,14.98559077809798,46.15384615384615,42333900.0,7.503632289079687
036710,심텍홀딩스,KOSDAQ,2490.0,2,False,True,False,False,True,777747129.5,16.627634660421542,45.39249146757679,979142700.0,5.027395700203741
036800,나이스정보통신,KOSDAQ,26000.0,2,False,True,False,False,True,388946312.5,14.790286975717448,40.5,152464000.0,9.879196275940473
037070,파세코,KOSDAQ,8150.0,2,False,True,False,False,True,758083630.5,11.950549450549453,43.459915611814345,182193250.0,13.727542298970864
037760,쎄니트,KOSDAQ,1907.0,2,False,False,True,False,True,74307285.35,16.280487804878053,67.14975845410629,8255403.0,10.056268936661382
038060,루멘스,KOSDAQ,725.0,2,False,True,True,False,False,557677761.75,20.033112582781463,56.58119658119658,266127925.0,-4.372485655872849
038460,바이오스마트,KOSDAQ,4675.0,2,True,False,False,False,True,4572552303.5,53.027823240589186,33.33333333333333,2533513400.0,33.10650655923239
038530,케이바이오,KOSDAQ,348.0,2,True,False,False,False,True,9582230767.2,54.666666666666664,39.37007874015748,467310408.0,26.28141159393995
039740,한국정보공학,KOSDAQ,3130.0,2,False,True,False,False,True,227066500.5,12.186379928315416,42.47104247104247,37970030.0,5.25784809913743
041440,현대에버다임,KOSDAQ,8180.0,2,True,True,False,False,False,2992775731.0,12.362637362637363,41.12903225806452,1005600120.0,0.7711828910734964
041830,인바디,KOSDAQ,30200.0,2,True,False,False,False,True,1270097442.5,5.779334500875666,27.31092436974791,1057694600.0,6.097068278030537
041920,메디아나,KOSDAQ,20900.0,2,True,False,False,False,True,9874739746.0,175.0,34.6875,6666222200.0,129.36660795320483
043200,파루,KOSDAQ,891.0,2,True,True,False,False,False,2038577612.75,19.919246298788696,45.268138801261834,400583799.0,-16.85252755251542
044780,에이치케이,KOSDAQ,1422.0,2,False,False,True,False,True,48809121.0,15.515840779853773,66.31205673758865,117792792.0,5.927705458405508
045390,대아티아이,KOSDAQ,4400.0,2,True,True,False,False,False,7488043567.75,16.55629139072847,41.95205479452054,12358570400.0,-3.959488366001651
045970,코아시아,KOSDAQ,5060.0,2,True,True,False,False,False,1693101700.5,18.640093786635404,40.339702760084926,782033120.0,-3.806396114234667
