symbol,name,market,strategy,score,price,pb_proxy,volume_ratio,returns_3m,rsi,ma_aligned,checks
455030,미국달러SOFR금리액티브,KOSPI,그레이엄 순유동자산,65,12860.0,1.14,0.83,2.38,68.0,True,"['✅ 52주 저가 대비 1.14', '✅ 3M 수익 2.4%', '❌ RSI 68.0', '✅ 정배열']"
455890,머니마켓액티브,KOSPI,그레이엄 순유동자산,65,54665.0,1.03,0.77,0.84,95.5,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.8%', '❌ RSI 95.5', '✅ 정배열']"
455960,미국달러SOFR금리액티브,KOSPI,그레이엄 순유동자산,65,12830.0,1.14,0.61,2.07,63.8,True,"['✅ 52주 저가 대비 1.14', '✅ 3M 수익 2.1%', '❌ RSI 63.8', '✅ 정배열']"
456200,미국달러SOFR금리액티브,KOSPI,그레이엄 순유동자산,65,63790.0,1.14,0.78,2.36,66.4,True,"['✅ 52주 저가 대비 1.14', '✅ 3M 수익 2.4%', '❌ RSI 66.4', '✅ 정배열']"
456610,미국달러SOFR금리액티브,KOSPI,그레이엄 순유동자산,65,63835.0,1.14,0.95,2.48,68.1,True,"['✅ 52주 저가 대비 1.14', '✅ 3M 수익 2.5%', '❌ RSI 68.1', '✅ 정배열']"
456880,미국달러SOFR금리,KOSPI,그레이엄 순유동자산,65,12935.0,1.14,0.64,2.37,68.8,True,"['✅ 52주 저가 대비 1.14', '✅ 3M 수익 2.4%', '❌ RSI 68.8', '✅ 정배열']"
457690,국고채액티브,KOSPI,그레이엄 순유동자산,65,10645.0,1.01,1.18,-0.7,41.2,False,"['✅ 52주 저가 대비 1.01', '⚡ 거래량 1.2배', '⚡ 3M 수익 -0.7%', '✅ RSI 41.2', '❌ 역배열/혼조']"
458030,국공채머니마켓액티브,KOSPI,그레이엄 순유동자산,65,54325.0,1.03,0.48,0.71,87.5,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.7%', '❌ RSI 87.5', '✅ 정배열']"
458210,금리액티브,KOSPI,그레이엄 순유동자산,65,109150.0,1.03,0.68,0.68,87.0,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.7%', '❌ RSI 87.0', '✅ 정배열']"
459580,금리액티브,KOSPI,그레이엄 순유동자산,65,1074455.0,1.03,0.78,0.71,100.0,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.7%', '❌ RSI 100.0', '✅ 정배열']"
460270,미국달러SOFR금리액티브,KOSPI,그레이엄 순유동자산,65,13355.0,1.14,0.86,2.45,66.1,True,"['✅ 52주 저가 대비 1.14', '✅ 3M 수익 2.5%', '❌ RSI 66.1', '✅ 정배열']"
460850,동국씨엠,KOSPI,그레이엄 순유동자산,65,5660.0,1.13,0.56,2.91,42.7,False,"['✅ 52주 저가 대비 1.13', '✅ 3M 수익 2.9%', '✅ RSI 42.7', '❌ 역배열/혼조']"
460960,글로벌인컴TOP10,KOSPI,그레이엄 순유동자산,65,11690.0,1.2,0.64,0.18,48.2,False,"['✅ 52주 저가 대비 1.20', '✅ 3M 수익 0.2%', '✅ RSI 48.2', '❌ 역배열/혼조']"
463290,단기금융채액티브,KOSPI,그레이엄 순유동자산,65,107815.0,1.03,0.43,0.73,100.0,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.7%', '❌ RSI 100.0', '✅ 정배열']"
465620,미국빅테크TOP7,KOSPI,그레이엄 순유동자산,65,7460.0,1.07,0.62,5.62,42.0,False,"['✅ 52주 저가 대비 1.07', '✅ 3M 수익 5.6%', '✅ RSI 42.0', '❌ 역배열/혼조']"
468370,미국인플레이션국채액티브,KOSPI,그레이엄 순유동자산,65,11890.0,1.15,0.9,2.43,67.2,True,"['✅ 52주 저가 대비 1.15', '✅ 3M 수익 2.4%', '❌ RSI 67.2', '✅ 정배열']"
468380,미국하이일드액티브,KOSPI,그레이엄 순유동자산,65,11845.0,1.15,0.8,0.86,64.5,True,"['✅ 52주 저가 대비 1.15', '✅ 3M 수익 0.9%', '❌ RSI 64.5', '✅ 정배열']"
469530,미국달러선물인버스,KOSPI,그레이엄 순유동자산,65,8690.0,1.0,1.05,-1.47,35.6,False,"['✅ 52주 저가 대비 1.00', '⚡ 거래량 1.0배', '⚡ 3M 수익 -1.5%', '✅ RSI 35.6', '❌ 역배열/혼조']"
471230,국고채10년액티브,KOSPI,그레이엄 순유동자산,65,107300.0,1.01,1.03,-0.96,46.1,False,"['✅ 52주 저가 대비 1.01', '⚡ 거래량 1.0배', '⚡ 3M 수익 -1.0%', '✅ RSI 46.1', '❌ 역배열/혼조']"
475260,월만기자동연장회사채AA-이상액티브,KOSPI,그레이엄 순유동자산,65,10615.0,1.03,0.19,0.76,80.0,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.8%', '❌ RSI 80.0', '✅ 정배열']"
475270,월만기자동연장회사채AA-이상액티브,KOSPI,그레이엄 순유동자산,65,10590.0,1.03,0.29,0.76,71.4,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.8%', '❌ RSI 71.4', '✅ 정배열']"
475280,월만기자동연장회사채AA-이상액티브,KOSPI,그레이엄 순유동자산,65,10580.0,1.03,0.0,0.81,75.0,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.8%', '❌ RSI 75.0', '✅ 정배열']"
475630,년금리액티브,KOSPI,그레이엄 순유동자산,65,1061305.0,1.03,0.69,0.7,100.0,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.7%', '❌ RSI 100.0', '✅ 정배열']"
476450,머니마켓액티브,KOSPI,그레이엄 순유동자산,65,52035.0,1.03,0.18,0.84,80.0,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.8%', '❌ RSI 80.0', '✅ 정배열']"
477050,머니마켓액티브,KOSPI,그레이엄 순유동자산,65,52715.0,1.03,0.81,0.83,84.6,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.8%', '❌ RSI 84.6', '✅ 정배열']"
477080,금리액티브,KOSPI,그레이엄 순유동자산,65,106070.0,1.03,0.79,0.68,100.0,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.7%', '❌ RSI 100.0', '✅ 정배열']"
479080,머니마켓액티브,KOSPI,그레이엄 순유동자산,65,52960.0,1.03,0.87,0.79,100.0,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.8%', '❌ RSI 100.0', '✅ 정배열']"
479520,금리액티브,KOSPI,그레이엄 순유동자산,65,105105.0,1.03,0.87,0.65,97.0,True,"['✅ 52주 저가 대비 1.03', '✅ 3M 수익 0.6%', '❌ RSI 97.0', '✅ 정배열']"
