symbol,name,market,price,strategies_count,s1_top20,s1_value,s2_turnaround,s2_value,s3_momentum,s3_value,s4_breakout,s4_value,s5_ma200,s5_value
000720,현대건설,KOSPI,159600.0,5,True,3171.45541295,True,132.31441048034935,True,63.82347985379056,True,1675.905336,True,104.67114438228364
001550,조비,KOSPI,17450.0,5,True,162.729331155,True,62.628145386766064,True,194.03428050507694,True,435.1783955,True,37.08961497065732
006110,삼아알미늄,KOSPI,36450.0,5,True,70.879570775,True,59.170305676855904,True,347.67652998882716,True,296.9541405,True,52.33581584292484
010060,홀딩스,KOSPI,158100.0,5,True,336.40715005,True,55.45722713864307,True,789.4863174269985,True,315.436377,True,52.73739022905779
017960,한국카본,KOSPI,45850.0,5,True,394.95970255,True,65.22522522522523,True,569.858875851316,True,229.316941,True,46.76579092676916
034020,두산에너빌리티,KOSPI,105700.0,5,True,7558.8836225,True,43.614130434782616,True,549.6927035721387,True,6148.999199,True,43.88734043241072
052690,한전기술,KOSPI,172400.0,5,True,819.16702705,True,93.27354260089686,True,451.6962438777182,True,781.365072,True,67.41358633112738
085620,미래에셋생명,KOSPI,17160.0,5,True,217.62301947,True,104.28571428571428,True,166.21087549357162,True,768.520038,True,102.77456100961876
097230,중공업,KOSPI,26550.0,5,True,605.68253739,True,37.28024819027922,True,328.44483778346626,True,1398.5772705,True,37.17208509319177
112610,씨에스윈드,KOSPI,56000.0,5,True,338.148715225,True,42.85714285714286,True,517.7160025675171,True,313.76912,True,24.593957193076132
120110,코오롱인더,KOSPI,71200.0,5,True,262.9086312,True,73.44701583434836,True,588.866296852108,True,220.809712,True,65.83883120891151
272210,한화시스템,KOSPI,140000.0,5,True,5117.57762045,True,186.0061287027579,True,86.47676883158965,True,2462.9402,True,111.97427540757734
278470,에이피알,KOSPI,328500.0,5,True,1261.52574875,True,51.73210161662818,True,3067.801160797804,True,883.858815,True,49.07593342636398
336260,두산퓨얼셀,KOSPI,42850.0,5,True,421.5600821,True,50.88028169014085,True,643.186832167539,True,421.9546625,True,44.96676083021804
353200,대덕전자,KOSPI,67000.0,5,True,773.4456695,True,59.52380952380953,True,158.00172660185854,True,963.64425,True,87.00692623414103
426030,미국나스닥100액티브,KOSPI,38075.0,5,True,217.473411825,True,13.180345411848627,True,46.87099252715289,True,237.49547775,True,13.682880448007584
433500,원자력TOP10,KOSPI,68105.0,5,True,207.1205402125,True,70.0924075924076,True,64.96037584730402,True,223.26249205,True,71.17496957217568
